id,x,y,lon,lat,source_type
49,588924.4757845448,2325455.2952430593,105.8557631,21.027733600000005,road_network_node
50,588937.3070190351,2325769.8990963325,105.8559028,21.030575299999988,road_network_node
51,587798.6367072922,2325771.360065449,105.8449456,21.030643299999994,highway:bus_stop
52,588649.0359672001,2325878.62097688,105.8531344,21.0315715,road_network_node
53,588926.6023026522,2325409.4828404733,105.8557812,21.0273196,road_network_node
54,588931.3847600534,2325376.136794168,105.8558255,21.0270181,road_network_node
55,588784.4357019237,2325165.136006343,105.8544006,21.0251189,road_network_node
56,588517.0273356528,2325325.651153157,105.8518357,21.026582,road_network_node
57,588626.9825444783,2326372.946362644,105.8529476,21.036038599999998,road_network_node
58,587853.7128462474,2326283.604287721,105.8455017,21.0352686,road_network_node
59,588666.9575454608,2325299.997864886,105.8532771,21.026343000000008,road_network_node
60,587759.4443225721,2325833.1142719192,105.84457160000001,21.031203099999992,road_network_node
61,588322.9007259469,2325308.168819764,105.8499668,21.0264334,road_network_node
62,589107.1481756673,2325143.8210997083,105.8575048,21.024910699999996,road_network_node
63,588830.2179477115,2325407.007395486,105.8548536,21.0273019,road_network_node
64,588696.8467462427,2325568.038525015,105.8535785,21.028763199999997,road_network_node
65,588130.2215676134,2325790.894400732,105.8481374,21.030803899999995,road_network_node
66,588723.3569877855,2325437.8149425257,105.8538269,21.0275854,road_network_node
67,588992.8556443996,2325434.0449956525,105.85642,21.0275383,road_network_node
68,589090.558705464,2325467.6643205443,105.8573619,21.0278373,road_network_node
69,588371.8935510195,2325945.3576173866,105.8504709,21.032187799999996,road_network_node
70,587772.4828756728,2326505.286390138,105.8447313,21.0372753,road_network_node
71,588705.713560777,2325761.940470851,105.8536738,21.03051459999999,road_network_node
72,587891.9684057287,2326300.4651215347,105.8458707,21.03541909999999,road_network_node
73,589169.9876888684,2325179.1684990674,105.8581113,21.025226999999994,road_network_node
74,588905.2705663083,2325437.947518607,105.8555774,21.027577799999992,road_network_node
