id,x,y,lon,lat,source_type
27,587781.183472312,2325795.9173023542,105.8447789,21.030865999999996,amenity:cafe
28,588636.8920766329,2326309.532236899,105.8530397,21.0354652,amenity:restaurant
29,588366.4190850143,2325974.239482802,105.8504197,21.032449,amenity:restaurant
30,588414.6034358564,2326415.234666882,105.850906,21.0364309,amenity:restaurant
31,588098.0649085295,2325697.747929454,105.8478232,21.029963899999995,amenity:restaurant
32,587944.3973765377,2326225.3331373967,105.8463714,21.034737799999995,amenity:restaurant
33,588668.8704814056,2326201.9729463723,105.8533419,21.034491899999992,amenity:restaurant
34,588274.981500007,2325609.1107316134,105.8495211,21.0291546,amenity:cafe
35,587962.9260782867,2325992.073534208,105.8465378,21.032629499999995,amenity:cafe
36,587977.8281601594,2326673.708692016,105.846716,21.038787099999997,amenity:restaurant
37,588238.1337807839,2325669.238219121,105.8491696,21.029699599999997,amenity:restaurant
38,588011.3561462136,2326745.101605188,105.8470423,21.039430499999998,amenity:restaurant
39,588732.4892474364,2326129.902704109,105.8539504,21.033837699999996,amenity:restaurant
40,587777.329313623,2326072.5768261096,105.8447559,21.033365699999997,amenity:cafe
41,588674.8149840874,2325885.0457000155,105.8533828,21.031628300000005,amenity:cafe
42,588006.1757692787,2326385.8668208374,105.8469741,21.036185199999995,amenity:restaurant
43,587766.6809521551,2325767.560490675,105.8446379,21.0306105,amenity:cafe
44,588685.5420974185,2326230.486129159,105.8535038,21.0347487,amenity:restaurant
45,588127.3345352864,2326123.045794262,105.8481266,21.0338049,amenity:restaurant
46,588561.8541818382,2326225.906933998,105.8523133,21.0347133,amenity:cafe
47,588531.9752040817,2326271.2502209023,105.8520281,21.035124399999997,amenity:restaurant
48,588780.2172264478,2325170.8137357514,105.8543603,21.0251704,amenity:cafe
49,588809.8346471422,2325908.646727455,105.8546833,21.031835,amenity:cafe
50,587740.4772437824,2325754.892308691,105.8443851,21.0304973,amenity:cafe
51,588620.2136118375,2326445.6527264663,105.8528862,21.036695799999997,amenity:restaurant
52,587929.0316407327,2325793.4129683473,105.8462015,21.030836299999994,amenity:restaurant
53,588442.6435486666,2326258.631404768,105.8511678,21.035014699999998,amenity:restaurant
54,588010.503712778,2326396.6594747105,105.8470163,21.0362825,amenity:restaurant
55,588132.1529049459,2325943.750046381,105.84816380000001,21.0321848,amenity:restaurant
56,587751.3632167175,2325708.6391938017,105.8444875,21.030078899999996,amenity:restaurant
57,588904.6337276065,2325857.353705983,105.8555929,21.031367,amenity:restaurant
58,588753.9931847587,2325389.2107862555,105.8541192,21.027144799999995,amenity:cafe
59,588796.1568322675,2326233.21421367,105.8545684,21.034768,amenity:cafe
60,588978.4486565336,2325341.6781422556,105.8562766,21.0267045,highway:bus_stop
61,587881.9636308022,2326727.491515784,105.8457962,21.0392776,highway:bus_stop
62,588594.9863545736,2326404.1879567523,105.85264130000002,21.0363224,amenity:restaurant
63,588094.4118592974,2326113.606533549,105.8478093,21.03372119999999,amenity:restaurant
64,588350.0972634585,2326035.9814118426,105.8502658,21.0330076,amenity:restaurant
65,587673.6040426315,2325621.4287337493,105.8437348,21.0292947,amenity:cafe
66,588706.2966614701,2326313.5670074807,105.85370780000001,21.035498300000004,amenity:cafe
67,588379.5187039567,2326304.6499701217,105.8505627,21.035433500000003,amenity:restaurant
68,587997.312719668,2326207.472480338,105.8468797,21.034573899999998,amenity:cafe
69,587984.2356230617,2326323.8772918247,105.8467598,21.0356262,amenity:restaurant
70,588793.4140585837,2326122.458627128,105.8545363,21.0337675,amenity:restaurant
71,589084.5352141307,2325423.6621410116,105.85730166444448,21.02744004999999,amenity:cafe
72,587950.2666516027,2326325.645176501,105.846433,21.0356438,amenity:restaurant
73,587845.7486948561,2325564.251756571,105.8453884,21.0287699,amenity:restaurant
74,588033.5213730824,2326723.458517864,105.8472545,21.039233899999996,amenity:restaurant
75,588266.4835026241,2326139.8129687076,105.8494665,21.033949699999994,amenity:restaurant
76,588033.4165060498,2326680.578432754,105.8472513,21.038846499999988,tourism:attraction
77,588045.9857418375,2326109.8517409307,105.8473431,21.0336896,amenity:cafe
78,587962.0569513597,2326099.134828989,105.8465349,21.0335968,amenity:restaurant
79,588588.0916909908,2326237.835063902,105.8525664,21.034819799999994,amenity:restaurant
80,588046.1320019463,2326401.3645545095,105.8473594,21.036323300000003,amenity:cafe
81,587893.5997994464,2326155.376386034,105.845879,21.03410819999999,amenity:cafe
82,588397.4400313554,2326397.057164328,105.8507399,21.0362675,amenity:cafe
83,588146.3055991814,2325932.1922175977,105.8482994,21.0320797,amenity:cafe
84,588524.4192724682,2326446.6906900066,105.8519644,21.0367098,amenity:restaurant
85,588021.3539122082,2325820.6884269123,105.8470913,21.0310783,highway:bus_stop
86,588383.8001089136,2326320.235162131,105.85060470000002,21.035574099999998,amenity:cafe
87,588337.2011751177,2325836.933574368,105.8501315,21.0312099,amenity:restaurant
88,588613.2879855429,2326388.2252670643,105.8528166,21.036177300000002,amenity:restaurant
89,588813.3074770304,2326121.7682019975,105.85472770000001,21.033760299999997,amenity:restaurant
90,588504.8553906642,2326366.2396589234,105.851772,21.035983900000005,amenity:restaurant
